ts,symbol,passed,reason
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
2026-08-25T14:00:00,TSLA,True,ok
